City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
222,Iskateley,RU,2022-12-08 23:08:50,67.6803,53.1512,-10.91,100,13,0.69
223,Eydhafushi,MV,2022-12-08 23:08:50,5.1033,73.0708,81.19,76,100,12.01
224,Khanewal,PK,2022-12-08 23:08:51,30.3,71.9333,60.24,32,0,5.39
225,Saint Anthony,US,2022-12-08 23:08:51,45.0205,-93.218,28.35,76,20,5.75
226,Dajal,PK,2022-12-08 23:08:21,29.5577,70.3762,62.11,31,0,7.49
227,Buala,SB,2022-12-08 23:08:52,-8.145,159.5921,83.16,76,99,3.78
228,Smithers,CA,2022-12-08 23:05:17,54.7804,-127.1743,35.92,64,75,12.66
229,Krasnokholmskiy,RU,2022-12-08 23:08:52,55.9873,55.0466,-9.58,98,37,5.44
230,Muros,ES,2022-12-08 23:09:52,42.7762,-9.0603,54.09,95,96,6.42
231,Meulaboh,ID,2022-12-08 23:09:53,4.1363,96.1285,74.97,87,100,6.13
232,Kamaishi,JP,2022-12-08 23:09:53,39.2667,141.8833,37.85,69,46,4.63
233,Slave Lake,CA,2022-12-08 23:05:45,55.2834,-114.769,17.02,89,74,7.78
234,Marilia,BR,2022-12-08 23:09:54,-22.2139,-49.9458,77.81,67,76,1.52
235,Vurgun,AZ,2022-12-08 23:09:54,41.0942,45.4716,32.23,88,45,1.68
236,Amapa,BR,2022-12-08 23:09:55,1.0,-52.0,75.78,79,58,1.77
237,Xining,CN,2022-12-08 23:09:55,36.6167,101.7667,23.07,56,1,2.33
238,Shubarshi,KZ,2022-12-08 23:09:56,48.5872,57.1869,1.71,94,5,3.33
239,Cidreira,BR,2022-12-08 23:09:56,-30.1811,-50.2056,72.34,85,0,10.83
240,Dong Hoi,VN,2022-12-08 23:09:56,17.4833,106.6,69.62,95,100,9.46
241,Minas,UY,2022-12-08 23:09:57,-34.3759,-55.2377,80.22,44,0,6.8
242,Fortuna,US,2022-12-08 23:09:57,40.5982,-124.1573,46.98,94,100,5.01
